,curso,regime,Media_Nota
349,Ciência de Computadores,Diurno,171.78
350,Pintura,Diurno,172.54
351,Marketing Turístico,Diurno,126.46
352,Gestão da Distribuição e da Logística,Pós-Laboral,128.39
353,Tecnologia Biomédica,Diurno,140.42
354,Engenharia e Ciência de Dados,Diurno,160.1
355,Gestão de Informação,Diurno,177.55
356,Administração de Publicidade e Marketing,Diurno,132.48
357,Química Medicinal,Diurno,136.06
358,Tecnologia Agro-Industrial,Diurno,139.13
359,Gestão Sustentável das Cidades,Diurno,128.61
360,Engenharia Eletrotécnica Marítima,Diurno,154.7
361,Comércio Internacional,Diurno,169.51
362,Estudos Comparatistas,Diurno,137.06
363,Contabilidade e Auditoria,Diurno,146.5
364,Engenharia Informática e Computação,Diurno,181.09
365,Comunicação e Design Multimédia,Diurno,154.62
366,Ciências da Arte e do Património,Diurno,159.97
367,"Meteorologia, Oceanografia e Geofísica",Diurno,128.9
368,Engenharia e Gestão de Sistemas de Informação,Diurno,157.64
369,Design Gráfico e Multimédia,Pós-Laboral,140.83
370,Educação,Pós-Laboral,142.86
371,Engenharia Eletrónica,Diurno,143.87
372,Artes Performativas,Diurno,138.55
373,Design de Equipamento e Ambientes,Diurno,140.85
374,Artes Visuais e Tecnologias,Diurno,158.1
375,Estudos Africanos,Diurno,131.45
376,Engenharia Informática (Curso Europeu),Diurno,147.92
377,Contabilidade e Finanças,Noturno,137.71
378,Som e Imagem,Diurno,153.98
379,"Meteorologia, Oceanografia e Clima",Diurno,134.03
380,Tecnologia Alimentar,Diurno,128.78
381,Artes e Humanidades,Diurno,152.01
382,Estudos Asiáticos,Diurno,153.93
383,Design de Espaços,Diurno,153.11
384,Gestão Turística e Hoteleira,Diurno,133.22
385,Engenharia Eletrónica Industrial e Computadores,Diurno,141.87
386,Informática e Multimédia,Diurno,139.65
387,Ciência Política,Diurno,166.63
388,Design Gráfico,Pós-Laboral,151.38
389,Gestão e Planeamento em Turismo,Diurno,151.45
390,Engenharia de Minas e Geo-Ambiente,Diurno,133.5
391,Farmácia Biomédica,Diurno,150.09
392,"Estudos Artísticos, variante de Artes do Espetáculo",Diurno,161.94
393,Música em Contextos Comunitários,Diurno,169.1
394,Relações Públicas e Comunicação Empresarial,Pós-Laboral,151.17
395,Artes Plásticas,Diurno,172.79
396,Gestão de Eventos,Diurno,135.59
397,Informática e Tecnologias Multimédia,Diurno,132.35
398,Engenharia Têxtil,Diurno,146.69
399,Ciência de Dados para a Gestão,Diurno,144.39
400,Informática Industrial,Diurno,132.63
401,Animação e Produção Artística,Diurno,138.76
402,Conservação - Restauro,Diurno,166.54
403,Informática e Gestão de Empresas,Pós-Laboral,156.13
404,Escultura,Diurno,156.76
405,Estudos Orientais: Estudos Chineses e Japoneses,Diurno,157.73
406,Audiovisual e Multimédia,Diurno,154.4
407,Turismo em Espaços Rurais e Naturais,Diurno,120.56
408,Língua Gestual Portuguesa,Diurno,132.38
409,Engenharia de Automação Industrial,Diurno,137.7
410,Engenharia da Energia e Ambiente,Diurno,140.23
411,Biologia Celular e Molecular,Diurno,177.03
412,Comércio e Relações Económicas Internacionais,Diurno,152.57
413,Ciências e Tecnologias da Documentação e Informação,Diurno,152.23
414,Engenharia de Sistemas e Tecnologias Informáticas,Diurno,130.77
415,Educação Básica,Pós-Laboral,145.7
416,Ciências Bioanalíticas,Diurno,141.1
417,Mecânica e Informática Industrial,Diurno,129.85
418,Turismo,Pós-Laboral,127.23
419,Gestão de Transportes e Logística,Diurno,144.53
420,Engenharia e Biotecnologia Florestal,Diurno,147.55
421,Relações Internacionais,Pós-Laboral,158.75
422,Solicitadoria e Administração,Diurno,155.63
423,Engenharia de Máquinas Marítimas,Diurno,142.31
424,Desporto e Lazer,Diurno,139.06
425,Gestão de Sistemas de Informação,Diurno,146.96
426,Animação Turística,Diurno,138.29
427,Química Tecnológica,Diurno,132.81
428,Animação Socioeducativa,Diurno,139.86
429,Comércio Internacional,Pós-Laboral,154.1
430,Programação e Produção Cultural,Diurno,141.52
431,Línguas e Relações Internacionais,Diurno,184.86
432,Publicidade e Marketing,Diurno,165.28
433,Design e Multimédia,Diurno,163.84
434,Química Aplicada,Diurno,157.89
435,Gastronomia,Diurno,150.98
436,Ciências do Meio Aquático,Diurno,160.23
437,Tecnologias de Informação,Diurno,156.02
438,Comunicação Empresarial,Pós-Laboral,154.45
439,Equinicultura,Diurno,139.96
440,Gestão das Organizações Desportivas,Diurno,139.37
441,Estudos de Cultura e Comunicação Intercultural,Diurno,159.99
442,Secretariado de Direção e Administração,Diurno,147.32
443,Teatro,Diurno,154.28
444,Informática de Gestão,Diurno,142.06
445,Energia e Ambiente,Diurno,113.9
446,Comunicação Organizacional,Diurno,153.89
447,Desporto de Natureza e Turismo Ativo,Diurno,126.89
448,Design de Produto - Cerâmica e Vidro,Diurno,151.74
449,Gestão do Território,Diurno,121.54
450,Línguas Estrangeiras: Inglês e Espanhol,Diurno,139.87
451,Criatividade e Inovação Empresarial,Diurno,163.19
452,Engenharia Computacional,Diurno,144.93
453,Administração Público-Privada,Diurno,171.69
454,Estatística Aplicada,Diurno,147.56
455,Estudos Culturais,Diurno,158.3
456,Engenharia de Polímeros,Diurno,143.53
457,Assessoria e Tradução,Pós-Laboral,152.14
458,Comunicação Organizacional,Pós-Laboral,139.24
459,Administração Pública e Políticas do Território,Pós-Laboral,134.43
460,Turismo e Lazer,Diurno,133.8
461,Design de Equipamento,Diurno,170.72
462,Proteção Civil e Gestão do Território,Diurno,140.3
463,Línguas e Literaturas Europeias,Diurno,169.27
464,Comunicação Multimédia,Diurno,132.12
465,Relações Públicas e Comunicação Empresarial,Diurno,159.56
466,Gestão de Cidades Sustentáveis e Inteligentes,Diurno,131.43
467,Treino Desportivo,Diurno,130.75
468,Finanças e Contabilidade,Diurno,161.11
469,Multimédia e Tecnologias da Comunicação,Diurno,160.22
470,Desenho,Diurno,175.59
471,Línguas para Relações Internacionais,Diurno,143.31
472,Ciência de Dados e Inteligência Artificial,Diurno,144.3
473,Gestão da Distribuição e da Logística,Diurno,142.4
474,Comunicação Social: Jornalismo e Comunicação Empresarial,Diurno,135.94
475,Publicidade e Relações Públicas,Diurno,136.7
476,Gestão Portuária,Diurno,148.34
477,Pilotagem,Diurno,166.44
478,Engenharia de Micro e Nanotecnologias,Diurno,139.26
479,Engenharia Eletrotécnica - Sistemas Elétricos de Energia,Diurno,143.85
