,curso,frequencia
354,Artes e Cinema Digital,11
355,Gestão e Administração Pública,10
356,Ortoprotesia,10
357,Zootecnia,10
358,Secretariado de Administração,10
359,Engenharia Computacional,10
360,Engenharia de Polímeros,10
361,Química Medicinal,10
362,Desporto de Natureza e Turismo Ativo,10
363,Engenharia Informática Médica,10
364,Turismo e Gestão do Património Cultural,9
365,Mediação Artística e Cultural,9
366,Programação e Produção Cultural,9
367,Comunicação Multimédia,9
368,Engenharia da Energia e Ambiente,9
369,"Meteorologia, Oceanografia e Geofísica",9
370,Proteção Civil e Gestão de Riscos,8
371,Gastronomia e Artes Culinárias,8
372,Biologia e Biotecnologia Alimentar,8
373,Gestão e Informática,8
374,Estudos Culturais,8
375,Ciências Bioanalíticas,8
376,Animação e Produção Artística,8
377,Tecnologias do Ambiente e do Mar,8
378,Segurança do Trabalho e Ambiente,7
379,Gestão da Distribuição e Logística,7
380,Tecnologias Digitais e Saúde,7
381,Audiologia,7
382,Mecânica e Informática Industrial,7
383,Engenharia Eletrónica,7
384,Estudos Comparatistas,7
385,Sistemas de Informação para Gestão,6
386,Tecnologias e Gestão Municipal,6
387,Engenharia de Minas e Recursos Energéticos,6
388,Engenharia da Computação Gráfica e Multimédia,6
389,Qualidade Alimentar e Nutrição Humana,6
390,Teatro e Artes Performativas,6
391,Engenharia Alimentar,6
392,Tecnologias do Petróleo,6
393,Saúde Digital,6
394,Guias de Natureza e Património,6
395,Ciência de Dados e Inteligência Artificial,6
396,Estudos Africanos,6
397,Tecnologia e Gestão Industrial,6
398,Secretariado,5
399,Educação Ambiental e Turismo de Natureza,5
400,Engenharia de Redes e Sistemas de Computadores,5
401,Química Industrial,5
402,Estudos de Filosofia e de Cultura Contemporânea,5
403,Estudos de Cultura,5
404,Engenharia Têxtil,5
405,Ciências Agrárias,5
406,Engenharia Geoespacial,5
407,Engenharia Florestal e dos Recursos Naturais,5
408,Engenharia Eletrotécnica Marítima,5
409,Gestão do Território,5
410,Equinicultura,5
411,Gestão e Biociências,5
412,"Informática Web, Móvel e na Nuvem",4
413,Matemática e Aplicações,4
414,Ciências da Cultura,4
415,Matemática Aplicada e Ciência de Dados,4
416,Património Cultural,4
417,"Gestão Turística, Cultural e Patrimonial",4
418,Design de Equipamento e Ambientes,4
419,Tecnologia Alimentar,4
420,Engenharia de Sistemas e Tecnologias Informáticas,4
421,Artes Performativas,4
422,Informática e Tecnologias Multimédia,4
423,"Gestão de Negócios Internacionais (Curso Europeu, ensino em Inglês)",4
424,Engenharia Geotécnica e Geoambiente,4
425,Enfermagem (entrada no 2.º semestre),4
426,Engenharia Física Aplicada,3
427,Engenharia Civil e do Ambiente,3
428,Engenharia Eletrónica e Telecomunicações,3
429,Biotecnologia Alimentar,3
430,Engenharia Informática e Telecomunicações,3
431,Biologia e Biotecnologia,3
432,Turismo em Espaços Rurais e Naturais,3
433,Tecnologia e Gestão Ambiental,3
434,Engenharia Geológica,3
435,Tecnologias para a Educação STEAM,2
436,Engenharia da Energia e do Ambiente,2
437,Tecnologia e Design de Mobiliário,2
438,Gestão Industrial,2
439,Ciências Florestais e Recursos Naturais,2
440,Educação Ambiental,2
441,Engenharia de Minas e Geo-Ambiente,2
442,Engenharia e Biotecnologia Florestal,2
443,Turismo e Lazer,2
444,"Engenharia de Automação, Controlo e Instrumentação",2
445,Engenharia de Energias Renováveis,1
446,Engenharia Mecânica Computacional,1
447,Ciências Farmacêuticas (Preparatórios),1
448,Informática e Multimédia,1
449,Química Tecnológica,1
450,Música em Contextos Comunitários,1
451,Gestão do Turismo e da Hospitalidade,1
452,Tecnologia Química,1
