,codigo_curso,curso,codigo_estabelecimento,estabelecimento,escola,regime_pos_laboral,regime_noturno,total_candidatos,total_colocados
562,8141,Audiologia,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,114,20
563,9022,Ciências Agrárias,140,Universidade dos Açores,Faculdade de Ciências Agrárias e do Ambiente,0,0,17,5
564,9813,Medicina,300,Universidade de Aveiro,D,0,0,1230,40
565,9086,Engenharia Agronómica,3041,Instituto Politécnico de Bragança,Escola Superior Agrária de Bragança,0,0,5,0
566,9243,Teatro,1000,Universidade do Minho,D,0,0,119,26
567,9209,Matemática,1000,Universidade do Minho,D,0,0,227,33
568,9141,Física,1000,Universidade do Minho,D,0,0,83,15
569,8031,Ciências Farmacêuticas (Preparatórios),140,Universidade dos Açores,Faculdade de Ciências Agrárias e do Ambiente,0,0,9,2
570,9076,Direção e Gestão Hoteleira,3046,Instituto Politécnico de Bragança,Escola Superior de Hotelaria e Bem-Estar,0,0,67,10
571,8138,Terapia Ocupacional,7005,Instituto Politécnico de Beja,Escola Superior de Saúde,0,0,63,21
572,9204,"Línguas, Literaturas e Culturas",300,Universidade de Aveiro,D,0,0,203,28
573,L021,Gestão Comercial,3186,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Lamego,0,0,121,35
574,9869,Contabilidade,3031,Instituto Politécnico do Cávado e do Ave,Escola Superior de Gestão,1,0,110,31
575,9139,Filosofia,1000,Universidade do Minho,D,0,0,161,27
576,9168,Gestão e Informática,3186,Instituto Politécnico de Viseu,Escola Superior de Tecnologia e Gestão de Lamego,0,0,76,20
577,8183,Geografia e Planeamento,1000,Universidade do Minho,D,0,0,197,46
578,9817,Artes Visuais,1000,Universidade do Minho,D,0,0,262,26
579,L304,Saúde Digital,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,44,12
580,9069,Design,300,Universidade de Aveiro,D,0,0,485,52
581,9219,Psicologia,1000,Universidade do Minho,D,0,0,538,67
582,9563,Desporto,3151,Instituto Politécnico de Setúbal,Escola Superior de Educação,0,0,120,31
583,9500,Enfermagem,7092,Universidade dos Açores,Escola Superior de Saúde,0,0,94,39
584,L136,Osteopatia,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,132,21
585,9012,Biologia e Geologia,1000,Universidade do Minho,D,0,0,226,49
586,9113,Engenharia Física,300,Universidade de Aveiro,D,0,0,197,40
587,8138,Terapia Ocupacional,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,251,46
588,9861,Saúde Ambiental,7230,Instituto Politécnico do Porto,Escola Superior de Saúde,0,0,119,35
589,9499,Design e Marketing de Moda,1000,Universidade do Minho,D,0,0,350,30
590,9853,Educação Básica,3151,Instituto Politécnico de Setúbal,Escola Superior de Educação,0,0,260,52
591,9209,Matemática,300,Universidade de Aveiro,D,0,0,214,37
592,9381,Estatística Aplicada,1000,Universidade do Minho,D,0,0,89,25
593,9054,Comunicação Social,3151,Instituto Politécnico de Setúbal,Escola Superior de Educação,0,0,154,33
594,9994,Gestão de Empresas,3031,Instituto Politécnico do Cávado e do Ave,Escola Superior de Gestão,1,0,159,29
595,9023,Ciências da Comunicação,1000,Universidade do Minho,D,0,0,568,65
