,codigo_curso,curso,codigo_estabelecimento,estabelecimento,escola,regime_pos_laboral,regime_noturno,total_candidatos_1op,total_colocados_1op,proporcao_colocados
170,9540,Bioengenharia,203,Universidade do Algarve,Faculdade de Ciências e Tecnologia,0,0,7,7,100.0
171,9104,Engenharia e Gestão Industrial,3102,Instituto Politécnico de Leiria,Escola Superior de Tecnologia e Gestão,0,0,6,6,100.0
172,9627,Contabilidade e Finanças,3102,Instituto Politécnico de Leiria,Escola Superior de Tecnologia e Gestão,0,0,39,28,71.8
173,9054,Comunicação Social,3151,Instituto Politécnico de Setúbal,Escola Superior de Educação,0,0,47,18,38.3
174,9890,Terapia da Fala,3013,Universidade de Aveiro,Escola Superior de Saúde de Aveiro,0,0,29,13,44.8
175,8341,Gestão de Atividades Turísticas,3034,Instituto Politécnico do Cávado e do Ave,Escola Superior de Hotelaria e Turismo,1,0,5,5,100.0
176,9040,Ciências da Linguagem,902,Universidade Nova de Lisboa,Faculdade de Ciências Sociais e Humanas,0,0,21,7,33.3
177,9652,Comunicação e Relações Públicas,150,Universidade dos Açores,Faculdade de Ciências Sociais e Humanas,0,0,22,21,95.5
178,9075,Design Multimédia,400,Universidade da Beira Interior,D,0,0,44,18,40.9
179,9147,Gestão,1202,Universidade de Trás-os-Montes e Alto Douro,Escola de Ciências Humanas e Sociais,0,0,135,40,29.6
180,9563,Desporto,3036,Instituto Politécnico do Cávado e do Ave,"Escola Superior de Desporto, Bem-Estar e Sistemas Biomédicos",0,0,114,10,8.8
181,9238,Serviço Social,150,Universidade dos Açores,Faculdade de Ciências Sociais e Humanas,0,0,24,17,70.8
182,9099,Engenharia do Ambiente,300,Universidade de Aveiro,D,0,0,5,5,100.0
183,L194,Eletrónica e Mecânica Industrial,3012,Universidade de Aveiro,Escola Superior de Tecnologia e Gestão de Águeda,0,0,55,29,52.7
184,9081,Economia,204,Universidade do Algarve,Faculdade de Economia,0,0,14,8,57.1
185,L256,Ciências Biomédicas e da Saúde,605,Universidade de Évora,Escola de Saúde e Desenvolvimento Humano,0,0,17,16,94.1
186,9016,Biotecnologia,300,Universidade de Aveiro,D,0,0,65,45,69.2
187,9147,Gestão,3082,Universidade do Algarve,"Escola Superior de Gestão, Hotelaria e Turismo",0,0,102,51,50.0
188,9205,Marketing,3011,Universidade de Aveiro,Instituto Superior de Contabilidade e Administração de Aveiro,0,0,67,19,28.4
189,9046,Ciências Musicais,902,Universidade Nova de Lisboa,Faculdade de Ciências Sociais e Humanas,0,0,40,31,77.5
190,9504,Fisioterapia,3155,Instituto Politécnico de Setúbal,Escola Superior de Saúde,0,0,88,30,34.1
191,9069,Design,1501,Universidade de Lisboa,Faculdade de Arquitetura,0,0,204,45,22.1
192,9813,Medicina,1507,Universidade de Lisboa,Faculdade de Medicina,0,0,403,237,58.8
193,9217,Produção Alimentar em Restauração,7110,Escola Superior de Hotelaria e Turismo do Estoril,D,0,0,37,28,75.7
194,9143,Geografia,1514,Universidade de Lisboa,Instituto de Geografia e Ordenamento do Território,0,0,89,65,73.0
195,9257,Arquitetura,1501,Universidade de Lisboa,Faculdade de Arquitetura,0,0,463,154,33.3
