,curso,regime,estabelecimento,Nota_minima
364,Educação Social,Diurno,Instituto Politécnico de Santarém,118.2
365,Educação Social,Diurno,Instituto Politécnico de Viseu,102.6
366,Educação Social,Diurno,Instituto Politécnico do Porto,116.4
367,Educação Social,Diurno,Universidade do Algarve,129.1
368,Educação Social,Pós-Laboral,Instituto Politécnico do Porto,134.6
369,Educação Social Gerontológica,Diurno,Instituto Politécnico da Guarda,118.6
370,Educação Social Gerontológica,Diurno,Instituto Politécnico de Viana do Castelo,121.8
371,Educação e Formação,Diurno,Universidade de Lisboa,124.5
372,Eletrónica e Mecânica Industrial,Diurno,Universidade de Aveiro,135.9
373,Energia e Ambiente,Diurno,Instituto Politécnico da Guarda,113.9
374,Enfermagem,Diurno,Escola Superior de Enfermagem de Coimbra,120.0
375,Enfermagem,Diurno,Escola Superior de Enfermagem de Lisboa,116.8
376,Enfermagem,Diurno,Escola Superior de Enfermagem do Porto,118.0
377,Enfermagem,Diurno,Instituto Politécnico da Guarda,114.0
378,Enfermagem,Diurno,Instituto Politécnico de Beja,130.0
379,Enfermagem,Diurno,Instituto Politécnico de Bragança,122.1
380,Enfermagem,Diurno,Instituto Politécnico de Castelo Branco,129.0
381,Enfermagem,Diurno,Instituto Politécnico de Leiria,132.2
382,Enfermagem,Diurno,Instituto Politécnico de Portalegre,112.0
383,Enfermagem,Diurno,Instituto Politécnico de Santarém,127.2
384,Enfermagem,Diurno,Instituto Politécnico de Setúbal,127.2
385,Enfermagem,Diurno,Instituto Politécnico de Viana do Castelo,138.0
386,Enfermagem,Diurno,Instituto Politécnico de Viseu,124.4
387,Enfermagem,Diurno,Universidade da Madeira,139.5
388,Enfermagem,Diurno,Universidade de Aveiro,135.4
389,Enfermagem,Diurno,Universidade de Trás-os-Montes e Alto Douro,117.6
390,Enfermagem,Diurno,Universidade de Évora,133.7
391,Enfermagem,Diurno,Universidade do Algarve,137.0
392,Enfermagem,Diurno,Universidade do Minho,123.5
393,Enfermagem,Diurno,Universidade dos Açores,116.2
394,Enfermagem (entrada no 2.º semestre),Diurno,Instituto Politécnico de Bragança,114.6
395,Enfermagem Veterinária,Diurno,Instituto Politécnico de Bragança,112.2
396,Enfermagem Veterinária,Diurno,Instituto Politécnico de Castelo Branco,121.7
397,Enfermagem Veterinária,Diurno,Instituto Politécnico de Coimbra,128.9
398,Enfermagem Veterinária,Diurno,Instituto Politécnico de Portalegre,102.0
399,Enfermagem Veterinária,Diurno,Instituto Politécnico de Viana do Castelo,126.8
400,Enfermagem Veterinária,Diurno,Instituto Politécnico de Viseu,122.7
401,Engenharia Aeroespacial,Diurno,Universidade de Aveiro,133.4
402,Engenharia Aeroespacial,Diurno,Universidade de Lisboa,138.8
403,Engenharia Aeroespacial,Diurno,Universidade do Minho,184.2
404,Engenharia Aeroespacial,Diurno,Universidade do Porto,162.0
405,Engenharia Aeronáutica,Diurno,Universidade da Beira Interior,145.8
